   ,airplane ,automobile       ,bird        ,cat       ,deer        ,dog       ,frog      ,horse       ,ship      ,truck
       ,4325        ,197       ,1261        ,718        ,811        ,504        ,444        ,503       ,1009        ,228
        ,206       ,5884         ,87        ,317        ,139        ,144        ,740        ,165        ,524       ,1794
        ,954         ,71       ,3644        ,885       ,1564        ,992        ,841        ,612        ,354         ,83
        ,628        ,270       ,1006       ,2582        ,836       ,2217        ,843        ,788        ,438        ,392
        ,554        ,102       ,1442        ,826       ,4061        ,648        ,899       ,1122        ,254         ,92
        ,398        ,105        ,854       ,2195        ,644       ,4023        ,451        ,952        ,177        ,201
        ,408        ,581        ,767        ,875        ,813        ,345       ,5351        ,188        ,283        ,389
        ,415        ,131        ,489        ,832       ,1016       ,1027        ,182       ,5452        ,240        ,216
       ,1279        ,503        ,523        ,495        ,340        ,241        ,435        ,271       ,5444        ,469
        ,327       ,1606        ,101        ,396        ,112        ,175        ,363        ,258        ,491       ,6171
